Name,IATA,url
ABSA Cargo Airline,M3,https://www.absa.co.za/
Adria Airways,JP,https://www.adria.si/
Aegean Airlines,A3,https://en.aegeanair.com/
Aer Lingus,EI,https://www.aerlingus.com
Aero República,P5,https://www.aerorepublica.com/
Aeroflot,SU,https://www.aeroflot.ru
Aerolineas Argentinas,AR,https://www.aerolineas.com.ar/
Aerolineas Galapagos S.A. Aerogal,2K,https://www.aerogal.com.ec/
Aeromexico,AM,https://www.aeromexico.com/
Afriqiyah Airways,8U,https://www.afriqiyah.aero/
Aigle Azur,ZI,https://www.aigleazur.com
Air Algérie,AH,http://www.airalgerie.dz
Air Arabia,G9,https://www.airarabia.com
Air Astana,KC,https://www.airastana.com
Air Austral,UU,https://www.air-austral.com
Air Baltic,BT,https://www.airbaltic.com
Air Berlin,AB,https://www.airberlin.com
Air Botswana,BP,https://www.airbotswana.co.bw
Air Caledonie,TY,https://www.aircaledonie.com/
Air Canada,AC,https://www.aircanada.com
Air China Limited,CA,http://www.airchina.com
Air Corsica,XK,https://www.air-corsica.com/
Air Europa,UX,https://www.aireuropa.com
Air France,AF,https://www.airfrance.com
Air India,AI,https://www.airindia.in/
Air Koryo,JS,http://www.airkoryo.com.kp/
Air Macau,NX,https://www.airmacau.com.mo/
Air Madagascar,MD,https://www.airmadagascar.com/
Air Malta,KM,https://www.airmalta.com
Air Mauritius,MK,https://www.airmauritius.com/
Air Moldova,9U,www.airmoldova.md
Air Namibia,SW,http://www.airnamibia.com.na/
Air New Zealand,NZ,https://www.airnewzealand.co.nz
Air Niugini,PX,https://www.airniugini.com.pg
Air Nostrum,YW,www.airnostrum.es
Air One S.p.A.,AP,http://www.airone.it/
Air SERBIA a.d. Beograd,JU,https://www.airserbia.com/
Air Seychelles,HM,https://www.airseychelles.com/
Air Tahiti,VT,https://www.airtahiti.com/
Air Tahiti Nui,TN,https://www.airtahitinui.com/
Air Transat,TS,https://www.airtransat.com
Air Uganda,U7,http://www.airuganda.com/
Air Vanuatu,NF,https://www.airvanuatu.com/
AirBridgeCargo Airlines,RU,https://www.airbridgecargo.com/
Aircalin,SB,https://www.aircalin.com/
Airlink,4Z,https://www.airlink.com/
Alaska Airlines,AS,www.alaskaair.com
Alitalia,AZ,https://www.alitalia.com
All Nippon Airways,NH,https://www.ana.co.jp/en/us/
AlMasria Universal Airlines,UJ,http://www.almasriaairlines.com/
ALS,K4,https://www.alsglobal.com/
American Airlines,AA,https://www.aa.com
Arik Air,W3,https://www.arikair.com
Arkia Israeli Airlines,IZ,https://www.arkia.com/
Asia Pacific Airlines,A6,https://www.asiapacificairlines.com/
Asiana,OZ,http://www.flyasiana.com
Atlas Air,5Y,https://www.atlasair.com
Atlasjet Airlines,KK,https://www.atlasglb.com/
Austral,AU,https://www.austral.com.au/
Austrian,OS,https://www.austrian.com
AVIANCA,AV,https://www.avianca.com
Avianca Brasil,O6,www.aviancabrasil.com.br
Azerbaijan Airlines,J2,http://www.azal.az
B&H Airlines,JA*,http://www.bhairlines.com
Bangkok Air,PG,https://www.bangkokair.com
Belavia - Belarusian Airlines,B2,https://www.belavia.by
BH AIR,8H,https://www.bhair.com/
Biman,BG,https://www.biman-airlines.com/
Binter Canarias,NT,https://www.bintercanarias.com
Blue Panorama,BV,https://www.bluepanorama.it/
Blue1,KF,https://www.blue1.com/
