name,city,country,code
Anaa Airport,Anaa,French Polynesia,AAA
El Arish International Airport,El Arish,Egypt,AAC
Rabah Bitat Airport,Annaba,Algeria,AAE
Apalachicola Regional Airport,Apalachicola,United States,AAF
Aachen-Merzbrück Airport,Aachen,Germany,AAH
Buariki Airport,Buariki,Kiribati,AAK
Aalborg Airport,Aalborg,Denmark,AAL
Malamala Airport,Malamala,South Africa,AAM
Al Ain International Airport,Al Ain,United Arab Emirates,AAN
Anaco Airport,Anaco,Venezuela,AAO
Andrau Airpark,Houston,United States,AAP
Anapa Vityazevo Airport,Anapa,Russia,AAQ
Aarhus Airport,Aarhus,Denmark,AAR
Altay Air Base,Altay,China,AAT
Allah Valley Airport,Surallah,Philippines,AAV
Romeu Zema Airport,Araxa,Brazil,AAX
Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,AAY
Quezaltenango Airport,Quezaltenango,Guatemala,AAZ
Abakan Airport,Abakan,Russia,ABA
Asaba International Airport,Asaba,Nigeria,ABB
Albacete-Los Llanos Airport,Albacete,Spain,ABC
Abadan Airport,Abadan,Iran,ABD
Lehigh Valley International Airport,Allentown,United States,ABE
Abaiang Airport,Abaiang Atoll,Kiribati,ABF
Alpha Airport,Alpha,Australia,ABH
Abilene Regional Airport,Abilene,United States,ABI
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ
Kabri Dehar Airport,Kabri Dehar,Ethiopia,ABK
Ambler Airport,Ambler,United States,ABL
Northern Peninsula Airport,Amberley,Australia,ABM
Albina Airport,Albina,Suriname,ABN
Albuquerque International Sunport,Albuquerque,United States,ABQ
Aberdeen Regional Airport,Aberdeen,United States,ABR
Abu Simbel Airport,Abu Simbel,Egypt,ABS
Al Baha Airport,El-baha,Saudi Arabia,ABT
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV
Albury Airport,Albury,Australia,ABX
Southwest Georgia Regional Airport,Albany,United States,ABY
Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ
General Juan N Alvarez International Airport,Acapulco,Mexico,ACA
Kotoka International Airport,Accra,Ghana,ACC
Alcides Fernández Airport,Acandi,Colombia,ACD
Lanzarote Airport,Arrecife,Spain,ACE
Brisbane Archerfield Airport,Brisbane,Australia,ACF
St Gallen Altenrhein Airport,Altenrhein,Switzerland,ACH
Alderney Airport,Alderney,Guernsey,ACI
Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,ACJ
Nantucket Memorial Airport,Nantucket,United States,ACK
Ciudad Acuña New International Airport,Ciudad Acuna,Mexico,ACN
Sahand Airport,Maragheh,Iran,ACP
Araracuara Airport,Araracuara,Colombia,ACR
Achinsk Airport,Achinsk,Russia,ACS
Waco Regional Airport,Waco,United States,ACT
California Redwood Coast-Humboldt County Airport,Arcata CA,United States,ACV
Xingyi Airport,Xingyi,China,ACX
Atlantic City International Airport,Atlantic City,United States,ACY
Zabol Airport,Zabol,Iran,ACZ
Adana Airport,Adana,Turkey,ADA
Adnan Menderes International Airport,Izmir,Turkey,ADB
Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,ADD
Aden International Airport,Aden,Yemen,ADE
Adıyaman Airport,Adiyaman,Turkey,ADF
Aldan Airport,Aldan,Russia,ADH
Arandis Airport,Arandis,Namibia,ADI
Amman-Marka International Airport,Amman,Jordan,ADJ
Adak Airport,Adak Island,United States,ADK
Adelaide International Airport,Adelaide,Australia,ADL
Ardmore Municipal Airport,Ardmore,United States,ADM
Ampara Airport,Galoya,Sri Lanka,ADP
Kodiak Airport,Kodiak,United States,ADQ
Addison Airport,Addison,United States,ADS
Ada Regional Airport,Ada,United States,ADT
Ardabil Airport,Ardabil,Iran,ADU
Joint Base Andrews,Camp Springs,United States,ADW
RAF Leuchars,Leuchars,United Kingdom,ADX
Alldays Airport,Alldays,South Africa,ADY
Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,ADZ
Abemama Atoll Airport,Abemama,Kiribati,AEA
